id,datetime,context,question,answer
t_418337,2021-10-28T00:09:27.000Z,hikari-内田真礼,この文はTwitterのツイートです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,
t_4106459,2021-12-13T21:10:25.000Z,simejiでキーボード可愛くできるからいいよ〜ԅ̄д̄ԅちょっと見にくいとこもあるけどそれは自分のカスタマイズ次第,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,ちょっと見にくいとこもある
t_2329254,2021-11-17T10:40:26.000Z,1メルカリ,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_8177,2021-11-04 20:54:15,支払いが、とても早いので助かる,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
t_3131997,2021-12-15T03:54:53.000Z,お得な招待コード,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_3901518,2021-12-09T13:40:29.000Z,仕事から帰ってきての楽しみが増えた,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_3220532,2021-12-07T13:36:49.000Z,先月のpickup,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_11653,2021-11-05 18:42:12,最初は評価はいいと思うが、見ていくうちにゴミアプリだとわかる,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_11123,2021-11-02 04:46:39,常に後から競馬情報が入るのがムカつくたらればじゃん,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_843101,2021-10-29T14:50:12.000Z,ini名古屋タワレコカフェ,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_5710,2021-10-28 01:41:02,wifi環境下で試してみたり、キャッシュを削除したり、時間帯を変えて操作してみたり、携帯を再起動してみたりしたのですが改善が見られません,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,wifi環境下で試してみたり、キャッシュを削除したり、時間帯を変えて操作してみたり、携帯を再起動してみたりしたのですが改善が見られません
g_10047,2021-11-12 17:07:10,とても嬉しいです,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_13096,2021-11-17 08:52:18,またやりたいです,この文章はGooglePlayストアのレビューです。ファミマのアプリアプリの欠陥やファミマのアプリアプリに対する要望が書かれているのはどこですか？,
g_6113,2021-11-26 20:03:04,問題が修正されるまでダウングレード版を配信して欲しいですね,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,問題が修正されるまでダウングレード版を配信して欲しい
g_6689,2021-11-27 17:56:11,今日はアプリがバグっていて起動されず、レジでそのことを伝えたら、機内モードでやってみてくださいと言われました,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,アプリがバグっていて起動されず
t_2940191,2021-11-24T12:24:34.000Z,モンモモラインモ~,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_9325,2021-12-04 21:45:33,どうしても翻訳しないと相手に伝わらないので出来るようにして欲しいです,この文章はGooglePlayストアのレビューです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,翻訳しないと相手に伝わらないので出来るようにして欲しい
t_2324329,2021-11-17T00:55:31.000Z,整体でハーパンを突っ込まれ,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_888,2021-11-12 18:24:10,どのように,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,
t_2450153,2021-11-22T11:26:14.000Z,西武園1r,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_7994,2021-11-18T05:54:19.000Z,1番出会えてるアプリはmixiのコレ,この文はTwitterのツイートです。Buzzvideoアプリの欠陥やBuzzvideoアプリに対する要望が書かれているのはどこですか？,
g_692,2021-11-21 13:58:16,そこんとこ修正お願いします,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,修正お願いします
g_11360,2021-11-17 22:27:12,いろんなニュースが手軽に読めてお得なクーポン情報もありいつも利用してます,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_3853155,2021-11-22T15:14:00.000Z,️ちなみに今クレーンゲームまじでやりたいです,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_1014933,2021-10-24T13:24:46.000Z,過去のツイート拝見し、缶バッジを定価にてお譲り出来ればと考えているのですが、如何でしょうか,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_1327925,2021-11-02T21:33:25.000Z,ダブハン2000円,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2191153,2021-11-11T10:37:40.000Z,主催枠募集,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_5895,2021-11-26 21:45:51,majicaカードに入金又ポイントを使うのは出来ないのですか,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,majicaカードに入金又ポイントを使うのは出来ないのですか
t_450348,2021-11-09T12:46:05.000Z,イベスト読んでちゃんと聞きたい,この文はTwitterのツイートです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,
t_3830985,2021-10-30T15:49:43.000Z,simejiユーザーだけ,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_1622,2021-12-10 16:32:05,また頑張るぞぉ,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_2945391,2021-11-26T07:13:22.000Z,ペイペイっ,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_966063,2021-10-25T03:23:57.000Z,振込paypayで受けております,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_13871,2021-11-20 02:27:48,再インスコするも設定できずに使用できない,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,設定できずに使用できない
t_3926252,2021-11-17T11:36:56.000Z,キーボードを好きな写真にしたくて入れたのがそもそもの始まりでした,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_11953,2021-11-11 07:36:01,プレゼント企画に応募する度、強制的にブラウザが開く,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,プレゼント企画に応募する度、強制的にブラウザが開く
t_2754843,2021-12-02T12:50:02.000Z,●マキバオってpaypayで香典,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_8223,2021-10-26 11:42:17,他の電子決済のほうがスムーズ,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,他の電子決済のほうがスムーズ
t_2539381,2021-11-29T22:40:17.000Z,3万円相当のpaypayボーナスが当たる“sランク賞”もご用意しておりますので、是非またご応募ください,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2775696,2021-11-29T03:10:51.000Z,初見です,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_11200,2021-10-22 18:21:24,記事を読んでる途中で、勝手にホームに戻るようになった,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,勝手にホームに戻る
t_1321945,2021-11-06T06:16:52.000Z,paypay希望です,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_11282,2021-10-24 20:05:47,なんかいい,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_1384,2021-11-16 12:13:58,毎日楽しく利用しています️,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_1475102,2021-11-10T11:13:52.000Z,ジャパンネット銀行がpaypay銀行に自動的に変わった利点のひとつはpaypayの登録や残高管理が楽で無料でできる事だろう,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_741930,2021-10-26T09:03:33.000Z,️paypayマネー90%paypayマネーライト85%少額からでも可能です,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_12344,2021-11-16 04:39:46,いちいち消す作業が面倒なうえに、その結果がデータベースに悪影響を与えていると思うと複雑な気分になる,この文章はGooglePlayストアのレビューです。にゃんトークアプリの欠陥やにゃんトークアプリに対する要望が書かれているのはどこですか？,いちいち消す作業が面倒
t_616696,2021-10-28T02:47:20.000Z,linepayのコードリーダーでpaypay加盟店のqrコードを読み取ってお支払いいただけるようになりました^^♪,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_3456441,2021-12-08T15:42:51.000Z,新宿ロフトにauのフェムトセルだかレピータだかが導入されて以来docomoの電波が掴めなくなった,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,docomoの電波が掴めなくなった
g_727,2021-11-24 20:46:52,この編集アプリは、すごい便利なアプリです,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,
g_7564,2021-12-03 18:24:42,上限金額にすぐ達して使いにくい,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,上限金額にすぐ達して使いにくい
g_4306,2021-12-03 08:45:05,度々歩数がカウントされない,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,歩数がカウントされない
g_11190,2021-11-03 02:38:02,そういう嫌がらせをするアプリはいらない,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_1304084,2021-11-10T12:17:42.000Z,paypay希望,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_894667,2021-10-22T09:04:38.000Z,本日のお手伝いは,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_2522,2021-11-07 14:31:37,gpsは使用時しか使わない設定だし他の原因調べても思い当たらないため、アンストしたら直りました,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_3720,2021-11-11 07:09:26,考えたら自販機の消費税分も取りすぎ感は前からあるからスーパーとかはその分も安いんかな,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_3170125,2021-12-14T18:26:40.000Z,yahooショッピング★在庫復活★,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_13474,2021-11-01 11:47:36,ポイントだけとか意味ないし,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,ポイントだけとか意味ない
t_2791000,2021-11-29T03:46:17.000Z,無料登録はこちらから,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_4904,2021-11-17 02:35:13,すぐに習性してほしいです,この文章はGooglePlayストアのレビューです。lemon8アプリの欠陥やlemon8アプリに対する要望が書かれているのはどこですか？,すぐに習性してほしい
g_7622,2021-11-13 00:24:52,今まではtカード表示がトップページからできたのに、お気に入りをタップして別ページを開かないといけなくなった,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,お気に入りをタップして別ページを開かないといけなくなった
t_4564804,2021-10-24T13:51:21.000Z,期間は10月19日火から10月25日月となります,この文はTwitterのツイートです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_12593,2021-11-19 10:16:58,音量調整はどこで設定するんでしょうか,この文章はGooglePlayストアのレビューです。にゃんトークアプリの欠陥やにゃんトークアプリに対する要望が書かれているのはどこですか？,音量調整はどこで設定するんでしょうか
g_2288,2021-11-14 23:05:24,いい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_7632,2021-12-07 11:57:47,わざわざキャンペーンの為、使ったが酷いキャンペーン,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_11189,2021-11-15 14:37:11,なかなかグッド,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_4019,2021-11-09 18:29:48,●歩数がカウントされない,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,歩数がカウントされない
t_3791961,2021-12-09T14:30:50.000Z,simejiでへんってうつと出てくる,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_3878092,2021-11-04T15:15:39.000Z,一日二回ガチャでアイテムをハントせよ,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_4140083,2021-12-06T16:25:24.000Z,しかも10名様に押忍,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_1615941,2021-11-04T02:58:33.000Z,4万まで行ったらハイカム買おw,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_12206,2021-11-18 23:11:51,ニュースからのリンクでその他のサイトに飛ばされる事が無いので安心です,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_2557112,2021-12-02T01:06:49.000Z,paypay20%還元が始まりました,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_3787761,2021-12-04T00:13:33.000Z,平気かい・・・,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_6803,2021-11-26 21:45:51,アプリにログインする事が出来ません,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,アプリにログインする事が出来ません
g_4563,2021-11-22 12:45:27,最初は良かったのですが,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,
t_84008,2021-11-08T20:54:18.000Z,rt希望今年最強のアプリ間違いなし,この文はTwitterのツイートです。Buzzvideoアプリの欠陥やBuzzvideoアプリに対する要望が書かれているのはどこですか？,
g_6716,2021-11-26 15:47:15,アップデートをしたからか開かなくなった,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,開かなくなった
g_12328,2021-10-27 00:18:01,あくまで、個人的な意見です,この文章はGooglePlayストアのレビューです。にゃんトークアプリの欠陥やにゃんトークアプリに対する要望が書かれているのはどこですか？,
g_12262,2021-11-13 06:31:08,迷惑メールが大量にくるようになった,この文章はGooglePlayストアのレビューです。にゃんトークアプリの欠陥やにゃんトークアプリに対する要望が書かれているのはどこですか？,迷惑メールが大量にくる
g_13984,2021-11-10 15:57:51,初めてペイを使う事ににしましたが、すごい簡単で便利です,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,
t_970657,2021-10-22T10:59:54.000Z,お好きな1000円paypay可,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_9405,2021-11-06 07:43:55,アプリもほとんど入れていない、ストレージ100g近く、6gメモリある買い換えたばかりのnecのタブレットなんだが,この文章はGooglePlayストアのレビューです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_8322,2021-11-07 13:36:44,便利ですー,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
t_1376803,2021-11-06T14:59:59.000Z,その他相談など、詳細はdmまでお願いします,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_716,2021-11-12 20:55:29,編集しようとしたらほんの数秒単位でも重くなる,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,編集しようとしたらほんの数秒単位でも重くなる
g_11234,2021-11-25 01:40:21,色んなジャンルがあるので飽きない,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_921,2021-11-03 13:22:00,やりやすくてちょうどいいです,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,
t_2114567,2021-11-12T15:39:56.000Z,dmまで,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_4991,2021-11-11 13:47:44,曲聴きたいのに購入出来ないから好きな曲も聴けないです,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,購入出来ないから好きな曲も聴けない
g_7326,2021-11-27 08:42:20,困ってるのは私だけでしょうか,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,
t_4120313,2021-11-15T05:03:23.000Z,simejiをインストールして、限定のidentityvぬいぐるみやゲームで使える手掛かり、オリジナルキーボードきせかえを当てるんだ,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_2037257,2021-11-22T15:25:44.000Z,dmまで,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_1592095,2021-11-02T10:47:52.000Z,◇ゴルタイ3スクリレー,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_2173,2021-12-11 20:49:16,応援致します,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_3474460,2021-12-06T07:12:16.000Z,500円~ご案内することが可能です,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_1886,2021-10-24 19:12:20,使いやすく楽しい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_1324491,2021-11-03T06:53:45.000Z,現在、でご支援を受けております,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2400752,2021-11-12T02:39:11.000Z,paypay支払いはこちらへ,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_4202003,2021-11-03T07:27:12.000Z,さすが男子,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_2879,2021-10-30 17:05:39,品物を購入する度にポイントを重ねて15本で1本プレゼントはお得だと思います,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_709,2021-11-28 13:05:00,動画も静画も編集しやすくて良かったのに,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,
g_9657,2021-11-21 12:13:37,出す方法はありますか,この文章はGooglePlayストアのレビューです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_1965,2021-11-01 10:48:58,詐欺かよ,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_3652737,2021-12-04T12:19:05.000Z,バラ売りもしてます,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_11104,2021-12-03 07:04:10,良い,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_11003,2021-12-04 17:44:47,評価の大事さを軽視し過ぎかと思います,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_13908,2021-12-01 19:44:53,エラーが出てまともに使えないpay系のアプリでこれはゴミすぎる,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,エラーが出てまともに使えない
t_3244796,2021-12-13T19:52:39.000Z,アウトレットグリーンワンおでかけウェットティッシュ1セットの在庫が復活して15分経過しました,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_7394,2021-11-17 18:04:18,コンビニでは決済できたのに、paypayが使えるお店で支払いすると使えませんでした,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,paypayが使えるお店で支払いすると使えません
t_3188851,2021-12-07T23:13:19.000Z,結果シェアで毎日50名様に500円相当のpaypayボーナス当たる→結果は返信でをフォロー後にご参加下さい12/20迄,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_4424536,2021-10-23T14:45:08.000Z,この機会に、家ヘパw始めませんか,この文はTwitterのツイートです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_90959,2021-11-03T02:19:11.000Z,capcut使ったことない,この文はTwitterのツイートです。CapCutアプリの欠陥やCapCutアプリに対する要望が書かれているのはどこですか？,
g_10538,2021-11-27 09:17:19,ニュースに加え抽選無料クーポンとても良きです,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_4603349,2021-12-05T23:51:07.000Z,※android限定,この文はTwitterのツイートです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,
g_3275,2021-11-13 16:04:06,使わなきゃもったいない,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_11960,2021-11-27 00:35:14,凄くいい,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
