id,app_name,datetime,context,prediction
t_5876,buzzvideo,2021-10-30T10:28:44.000Z,バズビデオの収益設定にてpaypalに設定出来ない,バズビデオの収益設定にてpaypalに設定出来ない
t_6535,buzzvideo,2021-11-23T08:37:01.000Z,テレ朝が米国ファンドから地上波放送停止要求された,テレ朝が米国ファンドから地上波放送停止要求された
t_6655,buzzvideo,2021-10-27T20:13:15.000Z,組み直ができません,組み直ができません
t_6720,buzzvideo,2021-12-01T05:44:02.000Z,ソロモン諸島でデモ隊が一部暴徒化、中華街が襲われる中国寄りの外交に反発字幕・25日,ソロモン諸島でデモ隊が一部暴徒化、中華街が襲われる
t_6851,buzzvideo,2021-12-02T22:34:14.000Z,フィフィも開いた口が塞がらない,開いた口が塞がらない
t_6911,buzzvideo,2021-12-02T12:11:24.000Z,雑な投稿しているせいか、単価落ちばかりする,雑な投稿しているせいか、単価落ちばかりする
t_7023,buzzvideo,2021-11-05T06:31:30.000Z,中国が日本製エンジンを模倣しても同じものがつくれない理由が,中国が日本製エンジンを模倣しても同じものがつくれない
t_7191,buzzvideo,2021-11-26T23:39:48.000Z,開いた口が塞がらない・・ソウル大教授日本を頼るしかない,開いた口が塞がらない
t_7935,buzzvideo,2021-11-11T11:52:12.000Z,遅くなった,遅くなった
t_8080,buzzvideo,2021-11-29T21:22:56.000Z,ソロモン諸島でデモ隊が一部暴徒化、中華街が襲われる中国寄りの外交に反発字幕・25日,ソロモン諸島でデモ隊が一部暴徒化、中華街が襲われる
t_8782,buzzvideo,2021-12-07T01:56:17.000Z,コンビニの駐車場を毎日長時間駐車する集団に困る店長→駐車場をこっそり有料式に,
t_8865,buzzvideo,2021-12-11T17:40:02.000Z,ペットショップで見たカラージャービルが出てきてくれなかった大作戦,ペットショップで見たカラージャービルが出てきてくれなかった
t_9092,buzzvideo,2021-11-14T23:10:03.000Z,行動ができなくて困っている方へ,行動ができなくて
t_9462,buzzvideo,2021-11-09T05:55:52.000Z,スマホのほぼ全ての機種販売禁止命令が出たサムスン悲鳴,スマホのほぼ全ての機種販売禁止命令が出た
t_9949,buzzvideo,2021-11-22T03:06:36.000Z,行動ができなくて困っている方へ,行動ができなくて
t_10061,buzzvideo,2021-11-14T15:20:08.000Z,女子の逃げ足の早さに何事も無かったように熊がくつろいでるww,女子の逃げ足の早さに何事も無かったように熊がくつろいでる
t_10118,buzzvideo,2021-11-05T03:36:46.000Z,行動ができなくて困っている方へ,行動ができなくて
t_10268,buzzvideo,2021-11-21T09:57:03.000Z,セブンイレブンにクマが入店、消毒したのに入店拒否される異常事態,セブンイレブンにクマが入店、消毒したのに入店拒否される
t_10502,buzzvideo,2021-10-22T07:32:04.000Z,削除ボタンが消える仕様になってます,削除ボタンが消える仕様になってます
t_10888,buzzvideo,2021-11-17T23:55:42.000Z,スピードが速すぎて撮影のポイントがつかめない,スピードが速すぎて撮影のポイントがつかめない
t_10948,buzzvideo,2021-11-15T10:17:33.000Z,台本の台詞があまりにもリアルすぎてww,
t_11279,buzzvideo,2021-12-03T12:39:10.000Z,中国メディア日本の業者が蘇州に建設したマンションが全然違っていた,中国メディア日本の業者が蘇州に建設したマンションが全然違っていた
t_11431,buzzvideo,2021-11-07T14:42:20.000Z,東名高速で猛スピードで蛇行運転し,
t_11574,buzzvideo,2021-11-06T13:05:22.000Z,通販で買った中国製マスクと日本製マスクを比べた結果がヤバ過ぎた・・・・実験,
t_12565,buzzvideo,2021-12-12T13:58:03.000Z,遅くなった,遅くなった
t_12981,buzzvideo,2021-12-10T04:05:21.000Z,今後ストックができない仕様になってるのかな,ストックができない仕様になってるのかな
t_13325,buzzvideo,2021-10-31T09:45:00.000Z,非常に使えない状態,非常に使えない
t_13413,buzzvideo,2021-12-12T12:03:01.000Z,今度は塩化カルシウムが不足する韓国除雪ができずに大ピンチの中、さらなる出来事が,
t_14458,buzzvideo,2021-10-23T16:40:03.000Z,ペットショップで見たカラージャービルが出てきてくれなかった大作戦,ペットショップで見たカラージャービルが出てきてくれなかった
t_14550,buzzvideo,2021-12-11T04:56:49.000Z,信号もまともに見れないレベルの低い地域があるんだ,
t_14633,buzzvideo,2021-12-11T00:05:39.000Z,モニタリング音程が全く外れないしょこたん,モニタリング音程が全く外れない
t_14763,buzzvideo,2021-12-01T04:07:31.000Z,ながらスマホの脇見運転でガードレールに衝突するが,ガードレールに衝突する
t_14936,buzzvideo,2021-10-26T13:21:31.000Z,髪の毛暗すぎた,髪の毛暗すぎた
t_15053,buzzvideo,2021-11-08T14:21:37.000Z,自動運転中のテスラ、道路上で横転したトラックに突っ込んでしまう,
t_15069,buzzvideo,2021-12-13T03:15:00.000Z,ずさんな管理が韓国経済と医療の崩壊を招いた,ずさんな管理
t_15810,buzzvideo,2021-12-15T11:01:43.000Z,中国恒大猶予期間終了までにドル建て債の利払いできずデフォルト,中国恒大猶予期間終了までにドル建て債の利払いできずデフォルト
t_15975,buzzvideo,2021-12-08T04:41:00.000Z,新しいプラットフォームからは名前の変更もアイコン変更もできなかった,新しいプラットフォームからは名前の変更もアイコン変更もできなかった
t_16108,buzzvideo,2021-11-09T08:03:45.000Z,めんどくさいしこれでいいやってつけたタイトルは1日で視聴数3000超え,めんどくさい
t_16159,buzzvideo,2021-11-15T10:18:17.000Z,台本の台詞があまりにもリアルすぎてww,
t_16602,buzzvideo,2021-11-01T12:30:57.000Z,急傾斜のメガソーラー無謀な山林伐採土砂災害の元凶広島三原花畑ソーラー発電所,
t_16604,buzzvideo,2021-12-06T12:03:37.000Z,ファインプレーすぎた,ファインプレーすぎた
t_16792,buzzvideo,2021-12-05T17:05:41.000Z,保守作業員が退避遅れ,保守作業員が退避遅れ
t_16969,buzzvideo,2021-12-06T12:41:51.000Z,キーボードでファミコンのスパルタンxを演奏したら完成度が高過ぎた,キーボードでファミコンのスパルタンxを演奏したら完成度が高過ぎた
t_17392,buzzvideo,2021-12-02T11:52:23.000Z,機能わからなすぎパニック,機能わからなすぎパニック
t_17519,buzzvideo,2021-11-07T10:55:26.000Z,右目のピクつきが止まらなくて,右目のピクつきが止まらなくて
t_17566,buzzvideo,2021-10-25T00:55:30.000Z,アクセルが戻らないブレーキも効かない時の対処法,
t_17740,buzzvideo,2021-11-09T04:40:11.000Z,なぜか板がえらく気になるハムスターのチャッピー君大作戦,板がえらく
t_17772,buzzvideo,2021-11-30T22:45:42.000Z,ステータス機能も全てオフという結果に,
t_17988,buzzvideo,2021-11-24T09:56:44.000Z,ハーバード大教授を糾弾した韓国慰安婦が記者に偽物を指摘され逆ギレする醜態露呈,ハーバード大教授を糾弾した韓国慰安婦が記者に偽物を指摘され逆ギレする
t_18043,buzzvideo,2021-12-07T20:23:10.000Z,900万のキャンピングカーを3年で返す為に彼女の行動がやばすぎる,900万のキャンピングカーを3年で返す為に彼女の行動がやばすぎる
t_18148,buzzvideo,2021-11-13T23:30:05.000Z,どんどん落ちるどころか,どんどん落ちる
t_18265,buzzvideo,2021-11-18T14:10:02.000Z,行動ができなくて困っている方へ,行動ができなくて
t_18434,buzzvideo,2021-11-19T10:44:47.000Z,最近全然配信出来ていなくて,全然配信出来ていなくて
t_18478,buzzvideo,2021-11-14T13:13:54.000Z,盗撮ぐらいでいちいち騒ぐな,
t_18744,buzzvideo,2021-11-26T12:24:57.000Z,ノイズがキツくてとても不快,
t_19242,buzzvideo,2021-10-30T19:31:34.000Z,復反応が出たら報復する,復反応が出たら報復する
t_19446,buzzvideo,2021-11-17T23:40:04.000Z,なぜか板がえらく気になるハムスターのチャッピー君大作戦,板がえらく
t_19792,buzzvideo,2021-11-07T00:25:01.000Z,目が開かないけど9:30から3時間配信します,目が開かない
t_19912,buzzvideo,2021-11-12T19:33:29.000Z,キーボードでファミコンのスパルタンxを演奏したら完成度が高過ぎた,キーボードでファミコンのスパルタンxを演奏したら完成度が高過ぎた
t_20101,buzzvideo,2021-12-09T11:19:02.000Z,1975年の車の内装がめちゃくちゃ予想外クルマ,1975年の車の内装がめちゃくちゃ
t_20110,buzzvideo,2021-10-30T10:47:50.000Z,歯医者さんの予約が夕方に入っていたので、あまり長く配信できなかったですが,歯医者さんの予約が夕方に入っていたので、あまり長く配信できなかった
t_20111,buzzvideo,2021-12-08T04:45:26.000Z,パトカーに追われたbmwが信号に衝突してくの字になる,パトカーに追われたbmwが信号に衝突してくの字になる
t_20275,buzzvideo,2021-11-04T10:47:02.000Z,紀子さまの父の訃報が速報で入るも眞子さんの今後の予定に関して出た情報が異常すぎる,紀子さまの父の訃報が速報で入るも眞子さんの今後の予定に関して出た情報が異常すぎる
t_20397,buzzvideo,2021-12-04T04:44:21.000Z,猫の99%がバグる,猫の99%がバグる
t_20458,buzzvideo,2021-12-15T05:48:40.000Z,自立支援医療の申請をしたけど通らなかった,自立支援医療の申請をしたけど通らなかった
t_20599,buzzvideo,2021-11-22T11:11:59.000Z,恩を仇で返す国と恩に報いる国との違いがヤバ過ぎ,恩を仇で返す国と恩に報いる国との違いがヤバ過ぎ
t_21161,buzzvideo,2021-11-25T04:13:34.000Z,フィフィも開いた口が塞がらない,開いた口が塞がらない
t_21187,buzzvideo,2021-11-21T12:17:01.000Z,車の除雪がめんどくさい時は毎回コレで一発です車,車の除雪がめんどくさい
t_21684,buzzvideo,2021-11-27T09:32:10.000Z,オリジナルだろうが露出制限単価落ち,露出制限単価落ち
t_22001,buzzvideo,2021-12-13T08:09:58.000Z,中国千年に一度の豪雨で全長4kmトンネル水没,全長4kmトンネル水没
t_22220,buzzvideo,2021-10-28T03:44:48.000Z,動画編集・投稿が遅いしwi-fi変えようと思ってるんだけど、どんなのがいいのかよくわからん,
t_22229,buzzvideo,2021-12-02T10:56:38.000Z,国連人権トップウイグル問題調査の新疆訪問が実現せず遺憾の意,
t_22280,buzzvideo,2021-12-14T14:10:02.000Z,行動ができなくて困っている方へ,行動ができなくて
t_22367,buzzvideo,2021-11-13T12:25:31.000Z,キーボードでファミコンのファミスタを演奏したら完成度が高過ぎた,キーボードでファミコンのファミスタを演奏したら完成度が高過ぎた
t_22571,buzzvideo,2021-12-14T08:18:27.000Z,共通点が多すぎて驚愕した,
t_22886,buzzvideo,2021-12-11T06:41:34.000Z,運が悪ければ、すべての投稿作業が無駄にされる不安が付きまとうだけにホント精神衛生上健康に悪い,運が悪ければ、すべての投稿作業が無駄にされる
t_22909,buzzvideo,2021-11-12T23:43:45.000Z,電動自転車のブレーキが効かず門に激突,
t_22942,buzzvideo,2021-11-27T03:56:45.000Z,コメント書き込みができない,
t_23076,buzzvideo,2021-11-18T01:05:35.000Z,バタバタしてて配信できてなくてごめんなさい,バタバタしてて配信できてなくて
t_23136,buzzvideo,2021-11-11T18:18:02.000Z,小室圭さんフォーダム大学の卒業を取り消されただけでなく、新入生名簿からも名前が消えていた,小室圭さんフォーダム大学の卒業を取り消されただけでなく、新入生名簿からも名前が消えていた
t_23139,buzzvideo,2021-11-11T11:40:43.000Z,命に関わる韓国産食品リストがヤバすぎる,
t_24041,buzzvideo,2021-11-22T11:16:20.000Z,駐車場の入り口に停めて歩行者や自転車の往来があるのに歩道の大部分を塞ぐのはよくないですね,歩道の大部分を塞ぐ
t_24421,buzzvideo,2021-12-05T21:12:45.000Z,野菜を切って漬けるだけで、大量にたべられてしまう,野菜を切って漬けるだけで、大量にたべられてしまう
t_24797,buzzvideo,2021-11-23T12:55:39.000Z,日本人が持つyap遺伝子の性能が高すぎ社会,日本人が持つyap遺伝子の性能が高すぎ
t_25451,buzzvideo,2021-11-07T20:19:06.000Z,pcr検査ではインフルとコロナのウィルス区別がつきません,pcr検査ではインフルとコロナのウィルス区別がつきません
t_25700,buzzvideo,2021-10-27T11:36:40.000Z,行動ができなくて困っている方へ,行動ができなくて
t_25793,buzzvideo,2021-12-05T23:56:33.000Z,指定ギフトで応援してもらえたら嬉しいです,指定ギフトで応援してもらえたら嬉しい
t_25938,buzzvideo,2021-10-29T16:33:23.000Z,熊から逃げようとするが、熊の追い上げが猛烈すぎた,熊の追い上げが猛烈すぎた
t_26356,buzzvideo,2021-10-29T11:59:11.000Z,ひろゆきでさえ論破不可能なk国人の理解不能な思考回路がコレ,理解不能な思考回路がコレ
t_26484,buzzvideo,2021-11-18T05:19:49.000Z,すり抜け運転から横転がヤバすぎる・・・,すり抜け運転から横転がヤバすぎる
t_26687,buzzvideo,2021-11-22T18:31:50.000Z,バズライブ用のコイン、2回購入失敗になったのにしっかり料金取られてるから運営にフィールドバックしたのに対応遅すぎ,バズライブ用のコイン、2回購入失敗になったのにしっかり料金取られてるから運営にフィールドバックしたのに対応遅すぎ
t_27220,buzzvideo,2021-11-06T19:09:52.000Z,バズビデオで単価落ちしてたアカウントが全部復活,
t_27703,buzzvideo,2021-11-15T15:40:00.000Z,開くともう止まらない,開くともう止まらない
t_27749,buzzvideo,2021-10-21T09:52:45.000Z,この粗悪品に365日悩まされた原因がこれ,この粗悪品
t_27894,buzzvideo,2021-11-14T22:22:14.000Z,新たなシンボルを見つけられないの,新たなシンボルを見つけられない
t_28170,buzzvideo,2021-10-21T03:54:54.000Z,iphoneをテレビに映す裏ワザが画期的すぎる,iphoneをテレビに映す裏ワザが画期的すぎる
t_28498,buzzvideo,2021-11-28T13:35:44.000Z,システム障害時にみずほ銀行が外為法違反の海外送金をしていた疑,システム障害時にみずほ銀行が外為法違反の海外送金をしていた
t_28519,buzzvideo,2021-12-15T11:50:46.000Z,バズビデオログインできない,バズビデオログインできない
t_28582,buzzvideo,2021-11-05T06:05:01.000Z,バズビデオ17:00見に行けなくなった,バズビデオ17:00見に行けなくなった
t_28846,buzzvideo,2021-11-25T14:11:27.000Z,なぜか板がえらく気になるハムスターのチャッピー君大作戦,板がえらく
t_29134,buzzvideo,2021-12-02T10:25:13.000Z,日本がロシアの石油・天然ガス輸入を大幅減、ロシアが青ざめる事態に,日本がロシアの石油・天然ガス輸入を大幅減
t_29362,buzzvideo,2021-12-15T10:29:52.000Z,バズビデオ突然ログインできなくなってしまった,ログインできなくなってしまった
t_29491,buzzvideo,2021-11-20T17:50:34.000Z,動物四足型のロボットをはじめて見た犬の反応が予想外すぎた,反応が予想外すぎた
t_29601,buzzvideo,2021-11-14T10:05:47.000Z,面の皮が厚過ぎる,面の皮が厚過ぎる
t_29797,buzzvideo,2021-11-26T22:00:29.000Z,出身校もまともに書けない,
t_29869,buzzvideo,2021-11-27T03:18:19.000Z,暴走トラックが住宅に激突家屋倒壊,暴走トラックが住宅に激突家屋倒壊
t_30050,buzzvideo,2021-12-03T01:39:44.000Z,岸田首相の外国人入国禁止に佐藤隊長が抜け穴がある塞げと警告,岸田首相の外国人入国禁止に佐藤隊長が抜け穴がある塞げと警告
t_30155,buzzvideo,2021-12-02T01:54:46.000Z,youtubeもチャンネル登録してもらえたらうれしいです,youtubeもチャンネル登録してもらえたらうれしい
t_30199,buzzvideo,2021-11-22T12:13:23.000Z,大型トレーラー横転交差点曲がりきれず東京・江東区,大型トレーラー横転交差点曲がりきれず
t_30280,buzzvideo,2021-11-20T10:56:45.000Z,血糖値対策運動が出来ない人でも楽に血糖値を下げる方法が楽過ぎる,血糖値対策運動が出来ない人でも楽に血糖値を下げる方法が楽過ぎる
t_30787,buzzvideo,2021-11-01T13:20:01.000Z,日本確実に仕留める隣国逃げ道を塞がれた,逃げ道を塞がれた
t_30905,buzzvideo,2021-11-10T12:52:16.000Z,/キーボードでファミコンのボンバーマンを演奏したら完成度が高過ぎた,キーボードでファミコンのボンバーマンを演奏したら完成度が高過ぎた
t_30947,buzzvideo,2021-11-27T10:38:50.000Z,出身校もまともに書けない,
t_31071,buzzvideo,2021-10-24T00:16:42.000Z,韓国の偽物、下手くそパクリがヤバ過ぎるwwwスーパーマリオ,韓国の偽物、下手くそパクリがヤバ過ぎる
t_31085,buzzvideo,2021-11-07T09:18:25.000Z,永遠ループ確定,永遠ループ確定
t_31137,buzzvideo,2021-11-03T08:46:33.000Z,1回目に1万2千いいね超えましたのに突然画面止まっていてほんとに残念でした,画面止まっていて
t_31184,buzzvideo,2021-11-29T10:11:52.000Z,韓国、モノレールがなぜか脱線し墜落してしまう事故が発生,モノレールがなぜか脱線し墜落してしまう
t_31196,buzzvideo,2021-11-09T23:10:03.000Z,行動ができなくて困っている方へ,行動ができなくて
t_31654,buzzvideo,2021-11-14T03:00:06.000Z,朝、新アカ作ろうと思ったら、新しいサイトでは作れなかった,新しいサイトでは作れなかった
t_32298,buzzvideo,2021-12-12T10:40:04.000Z,なぜか板がえらく気になるハムスターのチャッピー君大作戦,板がえらく
t_32376,buzzvideo,2021-12-05T07:37:03.000Z,そして相変わらずチャンネル名&アイコン&紹介欄が書き込めず、旧ページからの作業となる,チャンネル名&アイコン&紹介欄が書き込めず
t_32518,buzzvideo,2021-11-08T05:50:21.000Z,何の対処も遅い政府ら,
t_33029,buzzvideo,2021-11-06T22:53:09.000Z,自分がゴミを捨ててマナー違反な事しているのに嫌がらせとかダメだろ,自分がゴミを捨ててマナー違反な事しているのに嫌がらせとかダメ
t_33109,buzzvideo,2021-11-22T06:32:00.000Z,コメントはsns的に返したら展示回数あがるという都市伝説的な話がある,コメントはsns的に返したら展示回数あがる
t_33214,buzzvideo,2021-12-03T07:05:00.000Z,落ち武者で思い出したけど怖い系の話はbuzzvideoではバズりがち,落ち武者で思い出したけど怖い系の話はbuzzvideoではバズりがち
t_33641,buzzvideo,2021-12-10T12:44:09.000Z,電動キックボード全面禁止が望ましい,電動キックボード全面禁止が望ましい
t_33693,buzzvideo,2021-11-30T07:05:54.000Z,オミクロン株発生地の南アでは過剰反応し過ぎとの声,
t_33751,buzzvideo,2021-11-30T00:49:51.000Z,カップラーメンの納品の仕方がスゴすぎたwww,
t_33819,buzzvideo,2021-10-30T03:17:50.000Z,サムスンの最新折りたたみスマホが日本上陸するも初週からズッコケてしまう,サムスンの最新折りたたみスマホが日本上陸するも初週からズッコケてしまう
t_33842,buzzvideo,2021-10-31T09:45:00.000Z,下書きから投稿できなかったり、投稿できても下書きに残るときがある,下書きから投稿できなかったり、投稿できても下書きに残る
t_33857,buzzvideo,2021-11-04T15:28:58.000Z,バズビデオの収益申請ができまへん,バズビデオの収益申請ができまへん
t_33913,buzzvideo,2021-12-04T11:00:02.000Z,バズビデオも再生数がとれているチャンネルをパクることが重要,
t_33961,buzzvideo,2021-10-27T22:32:36.000Z,buzzvideo配信が出来ない,buzzvideo配信が出来ない
t_34311,buzzvideo,2021-10-24T12:13:27.000Z,トラックが高架下の高さ制限バーに接触し立ち往生jr中央線と東海道線が一時運転見合わせ,トラックが高架下の高さ制限バーに接触し立ち往生
t_34516,buzzvideo,2021-11-02T10:10:47.000Z,配信、突然ダウンし、それなのにリスナー側の配信は切れておらず、真っ黒な画面が放送されていた,配信、突然ダウンし、それなのにリスナー側の配信は切れておらず、真っ黒な画面が放送されていた
t_34519,buzzvideo,2021-11-13T11:34:40.000Z,高速道路で100台近くの車がパンク、その理由は,高速道路で100台近くの車がパンク
t_34869,buzzvideo,2021-11-17T16:56:11.000Z,buzzvideoってアプリ、めちゃくちゃ違法アップロードばっか,buzzvideoってアプリ、めちゃくちゃ違法アップロードばっか
t_35136,buzzvideo,2021-10-29T08:13:39.000Z,ペットショップで見たカラージャービルが出てきてくれなかった大作戦,ペットショップで見たカラージャービルが出てきてくれなかった
t_35497,buzzvideo,2021-11-07T05:02:48.000Z,最近一時停止を無視する車が多すぎる,
t_35504,buzzvideo,2021-11-08T15:19:23.000Z,今日間に合わなかった,今日間に合わなかった
t_35930,buzzvideo,2021-11-16T11:49:31.000Z,そしてさっき一瞬だけサーバー落ちなのかログインできない現象,一瞬だけサーバー落ち
t_36466,buzzvideo,2021-12-07T12:16:04.000Z,iocが再び韓国を潰してしまう事態が発生・・,
t_37066,buzzvideo,2021-11-29T14:00:02.000Z,もうーめんどくさい,もうーめんどくさい
t_37080,buzzvideo,2021-12-06T12:08:50.000Z,もう目が離せなくなる,もう目が離せなくなる
t_37244,buzzvideo,2021-11-15T05:09:18.000Z,ユーチューブを続ける事ができなくなりました脳の検査結果報告,ユーチューブを続ける事ができなくなりました
t_37334,buzzvideo,2021-11-22T06:11:06.000Z,ペットショップで見たカラージャービルが出てきてくれなかった大作戦,ペットショップで見たカラージャービルが出てきてくれなかった
t_38079,buzzvideo,2021-11-04T02:25:21.000Z,変な像を設置する事を許すか,変な像を設置する事を許すか
t_38687,buzzvideo,2021-12-07T23:37:50.000Z,ついにk国に融資していたみずほ銀行が追加融資を拒否,みずほ銀行が追加融資を拒否
t_39015,buzzvideo,2021-11-02T11:10:03.000Z,行動ができなくて困っている方へ,行動ができなくて
t_39088,buzzvideo,2021-10-23T03:00:00.000Z,愛犬の大好きな友人と大画面でtv電話したら反応が切な過ぎたww,反応が切な過ぎた
t_39491,buzzvideo,2021-11-25T13:00:01.000Z,ヘリコプターの墜落って回転翼がバラバラになって飛んで来るから危険だし恐いよね,ヘリコプターの墜落って回転翼がバラバラになって飛んで来る
t_39893,buzzvideo,2021-11-27T01:11:05.000Z,なぜか板がえらく気になるハムスターのチャッピー君大作戦,板がえらく
t_40060,buzzvideo,2021-11-20T15:27:06.000Z,走るなとは言えないが全レーンの機械に並ぶのはやめてほしいなぁ,全レーンの機械に並ぶのはやめてほしい
t_40156,buzzvideo,2021-11-12T06:41:28.000Z,スタッドレスとかチェーンとか無いのか,スタッドレスとかチェーンとか無いのか
t_40370,buzzvideo,2021-11-29T05:46:06.000Z,アクセルが戻らないブレーキも効かない時の対処法,
t_40567,buzzvideo,2021-11-16T03:05:44.000Z,作り始めたてで育てる途中の垢が一斉に削除マーク消えてやる気無くしてたけど、,育てる途中の[UNK]が一斉に削除マーク消えて
t_41059,buzzvideo,2021-11-06T08:10:03.000Z,行動ができなくて困っている方へ,行動ができなくて
t_41798,buzzvideo,2021-12-04T11:15:09.000Z,煽り運転で後ろの車に追突された,煽り運転で後ろの車に追突された
t_41928,buzzvideo,2021-11-10T11:09:52.000Z,変な警告が出てくること多いです,変な警告が出てくる
t_42386,buzzvideo,2021-12-08T09:21:03.000Z,しかも新アカの削除出現までにかなりのタイムラグが発生するようになったし,新アカの削除出現までにかなりのタイムラグが発生する
t_42541,buzzvideo,2021-11-15T09:59:41.000Z,秋篠宮家が完全に機能不全に,
t_42631,buzzvideo,2021-10-30T00:05:58.000Z,東名高速で猛スピードで蛇行運転し,
t_42723,buzzvideo,2021-12-06T10:50:16.000Z,もちろん人だから色々な考えを持ってると思いたいんだけど、さすがに今うちの会社に来てる派遣も全員とは言わないけどクズが多すぎて困る,クズが多すぎ
t_43033,buzzvideo,2021-11-04T03:55:31.000Z,勉強中・仕事中にこれをすると作業効率が異常に下がってます岡田斗司夫,作業効率が異常に下がってます
t_43648,buzzvideo,2021-11-10T12:28:41.000Z,敵がやたら固いような,
t_43711,buzzvideo,2021-10-30T05:10:04.000Z,行動ができなくて困っている方へ,行動ができなくて
t_43723,buzzvideo,2021-11-09T11:10:26.000Z,今、太陽光発電設備が大変な問題になっている,
t_43814,buzzvideo,2021-11-23T15:11:14.000Z,なぜか板がえらく気になるハムスターのチャッピー君大作戦,板がえらく
t_43934,buzzvideo,2021-12-01T04:28:37.000Z,めんどくさい,
t_44230,buzzvideo,2021-12-08T15:38:07.000Z,オーケストラ総動員でウルトラセブンを演奏するとは・・・もう開いた口が塞がらない,開いた口が塞がらない
t_44372,buzzvideo,2021-12-05T07:37:03.000Z,ここ2・3日のニューページの更なる変更で同期申請の項目が無くなっている,同期申請の項目が無くなっている
t_44479,buzzvideo,2021-12-06T03:50:51.000Z,バグなのか,バグなのか
t_44500,buzzvideo,2021-11-29T08:30:19.000Z,裁判官の感情を刑期にプラスするとか出来るようにならないかな,裁判官の感情を刑期にプラスするとか出来るようにならないかな
t_45037,buzzvideo,2021-11-17T14:33:26.000Z,完成度高すぎ,完成度高すぎ
t_45253,buzzvideo,2021-11-28T12:00:02.000Z,投稿数は同じでも少数アカの単価落ちは精神的にやられます,投稿数は同じでも少数アカの単価落ちは精神的にやられます
t_45795,buzzvideo,2021-10-29T07:33:32.000Z,日銀がお金を刷りまくってもお金の価値が下がらないしインフレにもならない根本的な理由,
t_46014,buzzvideo,2021-12-13T08:46:35.000Z,buzzvideoの新規アカが高単価とりにくくなってるね,buzzvideoの新規アカが高単価とりにくくなってる
t_46692,buzzvideo,2021-10-22T03:34:04.000Z,iphoneをテレビに映す裏ワザが画期的すぎる,iphoneをテレビに映す裏ワザが画期的すぎる
